,title,director,writers,top_5_billed,rotten_tomato_rating,audience_rating
607,Jack Reacher: Never Go Back,['Edward Zwick'],"['Richard Wenk', ' Edward Zwick', ' Marshall Herskovitz']","['Tom Cruise ', 'Cobie Smulders ', 'Danika Yarosh ', 'Patrick Heusinger ', 'Robert Knepper ']",37,42
608,U.S. Marshals,['Stuart Baird'],"['Roy Huggins', ' John Pogue', ' Stuart Baird']","['Tommy Lee Jones ', 'Wesley Snipes ', 'Robert Downey Jr. ', 'Kate Nelligan ', 'Joe Pantoliano ']",26,53
609,ParaNorman,"['Sam Fell', ' Chris Butler']",['Chris Butler'],"['Kodi Smit-McPhee ', 'Tucker Albrizzi ', 'Casey Affleck ', 'Anna Kendrick ', 'Christopher Mintz-Plasse ']",88,72
610,Paycheck,['John Woo'],"['Philip K. Dick', ' Dean Georgaris']","['Ben Affleck ', 'Aaron Eckhart ', 'Uma Thurman ', 'Paul Giamatti ', 'Colm Feore ']",27,45
611,The Boxtrolls,"['Anthony Stacchi', ' Graham Annable', ' Aaron Sorenson']","['Adam Pava', ' Irena Brignull', ' Anthony Stacchi', ' Phil Dale']","['Ben Kingsley ', 'Toni Collette ', 'Elle Fanning ', 'Jared Harris ', 'Isaac Hempstead Wright ']",77,63
612,Jack Ryan: Shadow Recruit,['Kenneth Branagh'],"['Anthony Peckham', ' Adam Cozad', ' David Koepp']","['Chris Pine ', 'Kevin Costner ', 'Kenneth Branagh ', 'Peter Andersson ', 'Keira Knightley ']",54,53
613,Under Siege 2: Dark Territory,['Geoff Murphy'],"['Richard Hatem', ' Matt Reeves']","['Steven Seagal ', 'Eric Bogosian ', 'Everett McGill ', 'Katherine Heigl ', 'Morris Chestnut ']",35,38
614,Miss Congeniality 2: Armed and Fabulous,['John Pasquin'],"['Marc Lawrence (II)', ' Marc Lawrence']","['Sandra Bullock ', 'Regina King ', 'William Shatner ', 'Heather Burns ', 'Enrique Murciano Jr. ']",15,43
615,Alien: Resurrection,['Jean-Pierre Jeunet'],['Joss Whedon'],"['Sigourney Weaver ', 'Winona Ryder ', 'Ron Perlman ', 'Dominique Pinon ', 'Michael Wincott ']",55,39
616,Shooter,['Antoine Fuqua'],"['Jonathan Lemkin', ' Antoine Fuqua', ' Stephen Hunter']","['Mark Wahlberg ', 'Michael Peña ', 'Danny Glover ', 'Kate Mara ', 'Elias Koteas ']",47,80
617,Practical Magic,['Griffin Dunne'],"['Robin Swicord', ' Akiva Goldsman', ' Adam Brooks']","['Sandra Bullock ', 'Nicole Kidman ', 'Dianne WestAidan Quinn ', 'Stockard Channing ', 'Dianne Wiest ']",22,73
618,Smurfs: The Lost Village,['Kelly Asbury'],"['Stacey Harman', ' Pamela Ribon']","['Demi Lovato ', 'Rainn Wilson ', 'Joe Manganiello ', 'Danny Pudi ', 'Jack McBrayer ']",40,54
619,First Man,['Damien Chazelle'],['Josh Singer'],"['Ryan Gosling ', 'Claire Foy ', 'Jason Clarke ', 'Kyle Chandler ', 'Corey Stoll ']",87,67
620,Year One,['Harold Ramis'],"['Lee Eisenberg', ' Harold Ramis', ' Gene Stupnitsky']","['Jack Black ', 'Michael Cera ', 'Oliver Platt ', 'David Cross ', 'Christopher Mintz-Plasse ']",14,23
621,Edge of Darkness,['Martin Campbell'],"['William Monahan', ' Andrew Bovell']","['Mel Gibson ', 'Ray Winstone ', 'Danny Huston ', 'Bojana Novakovic ', 'Peter Hermann ']",56,49
622,Star Trek: Nemesis,['Stuart Baird'],"['John Logan', ' Brent Spiner', ' Rick Berman']","['Patrick Stewart ', 'Jonathan Frakes ', 'Brent Spiner ', 'Tom Hardy ', 'LeVar Burton ']",38,49
623,Reign of Fire,['Rob Bowman'],"['Terry Hayes', ' Kevin Peterka', ' Gregg Chabot', ' Matt Greenberg']","['Christian Bale ', 'Matthew McConaughey ', 'Izabella Scorupco ', 'Gerard Butler ', 'Scott Moutter ']",42,49
624,Planet 51,['Jorge Blanco'],['Joe Stillman'],"['Dwayne Johnson ', 'Jessica Biel ', 'Justin Long ', 'Seann William Scott ', 'Gary Oldman ']",22,40
625,Righteous Kill,['Jon Avnet'],"['Russell Gerwitz', ' Jon Avnet', ' Russell Gewirtz']","['Robert De Niro ', 'Al Pacino ', 'Carla Gugino ', '50 Cent ', 'Brian Dennehy ']",18,37
626,Invictus,['Clint Eastwood'],['Anthony Peckham'],"['Morgan Freeman ', 'Matt Damon ', 'Tony Kgoroge ', 'Patrick Mofokeng ', 'Matt Stern ']",77,75
627,My Favorite Martian,['Donald Petrie'],"['Sherri Stoner', ' Sheri Stoner', ' Deanna Oliver']","['Christopher Lloyd ', 'Jeff Daniels ', 'Elizabeth Hurley ', 'Wallace Shawn ', 'Daryl Hannah ']",12,30
628,Trouble with the Curve,['Robert Lorenz'],['Randy Brown'],"['Amy Adams ', 'Clint Eastwood ', 'Justin Timberlake ', 'John Goodman ', 'Scott Eastwood ']",51,66
629,Intolerable Cruelty,"['Joel Coen', ' Ethan Coen']","['Matthew Stone', ' Robert Ramsey', ' Ethan Coen', ' Joel Coen']","['George Clooney ', 'Catherine Zeta-Jones ', 'Cedric the Entertainer ', 'Geoffrey Rush ', 'Edward Herrmann ']",75,48
630,Mercury Rising,['Harold Becker'],"['Mark Rosenthal', ' Lawrence Konner']","['Bruce Willis ', 'Alec Baldwin ', 'Miko Hughes ', 'Chi McBride ', 'Kim Dickens ']",21,40
631,Almost Famous,['Cameron Crowe'],['Cameron Crowe'],"['Billy Crudup ', 'Frances McDormand ', 'Kate Hudson ', 'Jason Lee ', 'Patrick Fugit ']",89,92
632,Cold Pursuit,['Hans Petter Moland'],['Frank Baldwin'],"['Liam Neeson ', 'Emmy RossumLaura DernTom Bateman ', 'Domenick Lombardozzi ', 'Raoul Max Trujillo ', 'Aleks Paunovic ']",69,49
633,Analyze That,['Harold Ramis'],"['Harold Ramis', ' Peter Steinfeld', ' Peter Tolan']","['Robert De Niro ', 'Billy Crystal ', 'Lisa Kudrow ', 'Joe Viterelli ', 'Cathy Moriarty ']",27,39
634,The Mortal Instruments: City of Bones,['Harald Zwart'],"['Jessica Postigo Paquette', ' I. Marlene King']","['Lily Collins ', 'Robert Maillet ', 'Kevin Durand ', 'Lena Headey ', 'Jonathan Rhys Meyers ']",14,58
635,Dragonfly,['Tom Shadyac'],"['David Seltzer', ' Brandon Camp', ' Mike Thompson']","['Kevin Costner ', 'Kathy Bates ', 'Joe Morton ', 'Kathryn ErbeRon Rifkin ', 'Linda Hunt ']",7,62
636,Priest,['Scott Stewart'],"['Scott Stewart', ' Cory Goodman']","['Paul Bettany ', 'Maggie Q ', 'Cam Gigandet ', 'Lily Collins ', 'Christopher Plummer ']",15,46
637,XXX: State of the Union,['Lee Tamahori'],"['Simon Kinberg', ' Lee Tamahori', ' Rich Wilkes']","['Ice Cube ', 'Samuel L. Jackson ', 'Willem Dafoe ', 'Scott Speedman ', 'Peter Strauss ']",17,32
638,Event Horizon,['Paul W.S. Anderson'],"['Philip Eisner', ' Paul W.S. Anderson']","['Laurence Fishburne ', 'Sam Neill ', 'Kathleen Quinlan ', 'Joely Richardson ', 'Richard T. Jones ']",27,61
639,Sinbad: Legend of the Seven Seas,"['Patrick Gilmore', ' Tim Johnson']",['John Logan'],"['Brad Pitt ', 'Catherine Zeta-Jones ', 'Michelle Pfeiffer ', 'Joseph Fiennes ', 'Dennis Haysbert ']",45,56
640,Dark Water,['Walter Salles'],['Rafael Yglesias'],"['Jennifer Connelly ', 'John C. Reilly ', 'Tim Roth ', 'Dougray Scott ', 'Pete Postlethwaite ']",47,28
641,EDtv,['Ron Howard'],"['Émile Gaudreault', ' Sylvie Bouchard', ' Lowell Ganz', ' Babaloo Mandel']","['Matthew McConaughey ', 'Jenna Elfman ', 'Woody Harrelson ', 'Sally Kirkland ', 'Martin Landau ']",64,30
642,The Spirit,['Frank Miller'],"['Frank Miller', ' Will Eisner']","['Gabriel Macht ', 'Samuel L. Jackson ', 'Scarlett Johansson ', 'Eva Mendes ', 'Sarah Paulson ']",14,25
643,Inkheart,['Iain Softley'],['David Lindsay-Abaire'],"['Brendan Fraser ', 'Paul Bettany ', 'Helen Mirren ', 'Jim Broadbent ', 'Andy Serkis ']",38,45
644,Flyboys,['Tony Bill'],"['Blake Evans', ' Phil Sears', ' David S. Ward', ' Blake T. Evans', ' Tony Bill']","['James Franco ', 'Martin Henderson ', 'David Ellison ', 'Ian RoseJennifer Decker ', 'Jean Reno ']",33,67
645,Holy Man,['Stephen Herek'],['Tom Schulman'],"['Eddie Murphy ', 'Jeff Goldblum ', 'Kelly Preston ', 'Robert Loggia ', 'Jon Cryer ']",12,24
646,Meet Dave,['Brian Robbins'],"['Bill Corbett', ' Rob Greenberg', ' Robert Greenberg']","['Eddie Murphy ', 'Elizabeth Banks ', 'Scott Caan ', 'Marc Blucas ', 'Austyn Lind Myers ']",20,35
647,Rock Dog,['Ash Brannon'],"['Ash Brannon', ' Kurt Voelker']","['J.K. Simmons ', 'Luke Wilson ', 'Eddie Izzard ', 'Lewis Black ', 'Kenan Thompson ']",47,47
648,Mortdecai,['David Koepp'],"['Eric Aronson', ' David Koepp']","['Johnny Depp ', 'Gwyneth Paltrow ', 'Ewan McGregor ', '', 'Georgina']",12,29
649,In the Name of the King: A Dungeon Siege Tale,['Uwe Boll'],['Doug Taylor'],"['Jason Statham ', 'Leelee Sobieski ', 'John Rhys-Davies ', 'Ron Perlman ', 'Claire Forlani ']",4,22
650,Beyond Borders,['Martin Campbell'],['Caspian Tredwell-Owen'],"['Angelina Jolie ', 'Clive Owen ', 'Teri Polo ', 'Linus Roache ', 'Noah Emmerich ']",14,72
651,The Ridiculous 6,['Frank Coraci'],"['Tim Herlihy', ' Adam Sandler']","['Adam Sandler ', 'Terry Crews ', 'Taylor Lautner ', 'Steve Buscemi ', 'Danny Trejo ']",0,34
652,Sherlock Gnomes,['John Stevenson'],['Ben Zazove'],"['James McAvoy ', 'Emily Blunt ', 'Johnny DeppChiwetel Ejiofor ', 'Maggie SmithMichael CaineAshley JensenMatt LucasStephen MerchantMary J. Blige ', 'View All ']",27,35
653,The Kid Who Would Be King,['Joe Cornish'],['Joe Cornish'],"['Louis Ashbourne Serkis ', 'Patrick Stewart ', 'Rebecca Ferguson ', 'Dean Chaumoo Tom Taylor (L) Rhianna Dorris Angus ImrieView All ']",89,56
654,Deadpool,['Tim Miller'],"['Rhett Reese', ' Paul Wernick']","['Ryan Reynolds ', 'Morena Baccarin ', '', '', '']",85,90
655,American Sniper,['Clint Eastwood'],['Jason Hall'],"['Bradley Cooper ', 'Sienna Miller ', 'Luke Grimes ', 'Kyle Gallner ', 'Ben Reed ']",72,84
656,Rambo III,['Peter MacDonald'],"['Sylvester Stallone', ' Sheldon Lettich', ' Harry Kleiner']","['Sylvester Stallone ', 'Richard Crenna ', 'Marc de Jonge ', 'Kurtwood Smith ', 'Spiros Focás ']",37,45
657,Red Tails,['Anthony Hemingway'],"['John Ridley', ' Aaron McGruder']","['Terrence Howard ', 'Cuba Gooding Jr. ', 'Bryan Cranston ', 'Nate Parker ', 'David Oyelowo ']",40,58
658,Just Like Heaven,['Mark Waters (VIII)'],"['Peter Tolan', ' Leslie Dixon']","['Reese Witherspoon ', 'Mark Ruffalo ', 'Donal Logue ', 'Dina Waters ', 'Ben Shenkman ']",55,75
659,The Internship,['Shawn Levy'],"['Vince Vaughn', ' Jared Stern']","['Owen Wilson ', 'Joanna GarciaVince Vaughn ', 'Aasif MandviMax Minghella ', 'Josh Gad ', 'Tiya Sircar ']",34,51
660,The Flintstones in Viva Rock Vegas,['Brian Levant'],"['Harry Elfont', ' Deborah Kaplan', ' Jim Cash', ' Jack Epps', ' Jr.']","['Mark Addy ', 'Stephen Baldwin ', 'Kristen Johnston ', 'Jane Krakowski ', 'Thomas Gibson ']",25,21
661,Leatherheads,['George Clooney'],"['Duncan Brantley', ' Rick Reilly']","['George Clooney ', 'Renée Zellweger ', 'John Krasinski ', 'Stephen Root ', 'Jonathan Pryce ']",51,38
662,Life,['Ted Demme'],"['Robert Ramsey', ' Matthew Stone']","['Eddie Murphy ', 'Martin Lawrence ', 'Ned Beatty ', 'Obba Babatundé ', 'Bernie Mac ']",50,77
663,Sex and the City,['Michael Patrick King'],"['Candace Bushnell', ' Michael Patrick King']","['Sarah Jessica Parker ', 'Kim Cattrall ', 'Cynthia Nixon ', 'Kristin Davis ', 'Chris Noth ']",49,77
664,Resident Evil: Afterlife,"['Paul W.S. Anderson', ' Russell Mulcahy']",['Paul W.S. Anderson'],"['Milla Jovovich ', 'Ali Larter ', 'Kim Coates ', 'Shawn Roberts ', 'Sergio Peris-Mencheta ']",22,48
665,Ghost Rider: Spirit of Vengeance,"['Brian Taylor', ' Mark Neveldine']","['Mark Neveldine', ' Brian Taylor', ' David S. Goyer', ' Scott M. Gimple', ' Seth Hoffman']","['Nicolas Cage ', 'Ciarán Hinds ', 'Violante Placido ', 'Idris Elba ', 'Johnny Whitworth ']",18,32
666,Dragonheart,['Rob Cohen'],"['Charles Edward Pogue', ' Charles E. Pogue', ' Patrick Read Johnson']","['Dennis Quaid ', 'David Thewlis ', 'Pete Postlethwaite ', 'Dina Meyer ', 'Julie Christie ']",50,60
667,After the Sunset,['Brett Ratner'],"['Craig Rosenberg', ' Brett Ratner', ' Paul Zbyszewski']","['Pierce Brosnan ', 'Salma Hayek ', 'Woody Harrelson ', 'Naomie Harris ', 'Russell Hornsby ']",18,52
668,Walking Tall,['Kevin Bray'],"['David Klass', ' Channing Gibson', ' David Levien', ' Brian Koppelman']","['Dwayne Johnson ', 'Neal McDonough ', 'Johnny Knoxville ', 'John Beasley ', 'Barbara Tarbuck ']",26,60
669,Forrest Gump,['Robert Zemeckis'],['Eric Roth'],"['Tom Hanks ', 'Robin Wright ', 'Gary Sinise ', 'Mykelti Williamson ', 'Sally Field ']",71,95
670,Bohemian Rhapsody,['Bryan Singer'],['Anthony McCarten'],"['Rami Malek ', 'Lucy Boynton ', 'Gwilym Lee ', 'Ben Hardy ', 'Joseph Mazzello ']",61,85
671,Hitch,"['Andrew Tennant', ' Andy Tennant']",['Kevin Bisch'],"['Will Smith ', 'Eva Mendes ', 'Kevin James ', 'Amber Valletta ', 'Julie Ann Emery ']",68,62
672,Meet the Parents,['Jay Roach'],"['John Hamburg', ' Jim Herzfeld', ' Jay Roach']","['Robert De Niro ', 'Ben Stiller ', 'Teri Polo ', 'Blythe Danner ', 'Owen Wilson ']",84,79
673,The Nutty Professor,['Jerry Lewis'],"['Jerry Lewis', ' Bill Richmond']","['Jerry Lewis ', 'Prof. Julius Ferris Kelp', 'Stella Purdy', 'Dr. Hamius R. Warfield', 'Millie Lemmon']",85,67
674,Fifty Shades Darker,['James Foley'],['Niall Leonard'],"['Dakota Johnson', 'Jamie Dornan ', 'Eric Johnson ', 'Rita Ora ', 'Luke Grimes ']",11,48
675,Captain Phillips,['Paul Greengrass'],['Billy Ray'],"['Tom Hanks ', 'Catherine Keener ', 'Barkhad Abdi ', 'Michael Chernus ', 'Corey Johnson ']",93,89
676,American Wedding,['Jesse Dylan'],['Adam Herz'],"['Jason Biggs ', 'Seann William Scott ', 'Alyson Hannigan ', 'Eddie Kaye Thomas ', 'Thomas Ian Nicholas ']",54,63
677,Murder on the Orient Express,['Sidney Lumet'],['Paul Dehn'],"['Albert Finney ', 'Lauren Bacall ', 'Ingrid Bergman ', 'Sean Connery ', 'Martin Balsam ']",89,79
678,The Equalizer,['Antoine Fuqua'],['Richard Wenk'],"['Denzel Washington ', 'Marton Csokas ', 'Chloë Grace Moretz', 'David Harbour ', 'Bill Pullman ']",60,76
679,Fifty Shades Freed,['James Foley'],['Niall Leonard'],"['Dakota Johnson', 'Jamie Dornan ', 'Eric Johnson ', 'Rita Ora ', 'Luke Grimes ']",12,37
680,Casper,['Brad Silberling'],"['Deanna Oliver', ' Sheri Stoner']","['Christina Ricci ', 'Bill Pullman ', 'Cathy Moriarty ', 'Eric Idle ', 'Malachi Pearson ']",47,49
681,Date Night,['Shawn Levy'],"['Shawn Levy', ' Josh Klausner']","['Steve Carell ', 'Tina Fey ', 'Mark Wahlberg ', 'Taraji P. Henson ', 'Jimmi Simpson ']",66,55
682,Maid in Manhattan,['Wayne Wang'],"['John Hughes', ' Kevin Wade']","['Ralph Fiennes ', 'Jennifer Lopez ', 'Natasha Richardson ', 'Stanley Tucci ', 'Bob Hoskins ']",39,43
683,Crimson Tide,['Tony Scott'],"['Quentin Tarantino', ' Michael Schiffer', ' Richard P. Henrick']","['Denzel Washington ', 'Gene Hackman ', 'George Dzundza ', 'Viggo Mortensen ', 'James Gandolfini ']",88,83
684,Flightplan,['Robert Schwentke'],"['Peter A. Dowling', ' Billy Ray']","['Jodie Foster ', 'Peter Sarsgaard ', 'Sean Bean ', 'Kate Beahan ', 'Michael Irby ']",37,48
685,Disclosure,['Barry Levinson'],"['Paul Attanasio', ' Michael Crichton']","['Michael Douglas ', 'Demi Moore ', 'Donald Sutherland ', 'Caroline Goodall ', 'Roma Maffia ']",59,41
686,City of Angels,['Brad Silberling'],['Dana Stevens'],"['Nicolas Cage ', 'Meg Ryan ', 'Andre Braugher ', 'Dennis Franz ', 'Colm Feore ']",58,82
687,R.V.,['Barry Sonnenfeld'],['Geoff Rodkey'],"['Robin Williams ', 'Cheryl Hines ', ""Joanna 'JoJo' Levesque "", 'Josh Hutcherson ', 'Jeff Daniels ']",23,45
688,Bowfinger,['Frank Oz'],['Steve Martin'],"['Steve Martin ', 'Eddie Murphy ', 'Heather Graham ', 'Christine Baranski ', 'Terence Stamp ']",81,61
689,Kill Bill: Volume 2,['Quentin Tarantino'],['Quentin Tarantino'],"['Uma Thurman ', '', '', '', '']",84,89
690,Death Becomes Her,['Robert Zemeckis'],"['Robert Zemeckis', ' Martin Donovan', ' David Koepp']","['Meryl Streep ', 'Goldie Hawn ', 'Bruce Willis ', 'Isabella Rossellini ', 'Ian Ogilvy ']",52,61
691,Shanghai Noon,['Tom Dey'],"['Miles Millar', ' Alfred Gough']","['Jackie Chan ', 'Owen Wilson ', 'Lucy Liu ', 'Brandon Merrill ', 'Roger Yuan ']",79,65
692,Executive Decision,['Stuart Baird'],"['Jim Thomas', ' John Thomas', ' Stuart Baird']","['Kurt Russell ', 'Halle Berry ', 'John Leguizamo ', 'Steven Seagal ', 'Oliver Platt ']",64,53
693,Alien 3,['David Fincher'],"['David Glier', ' David Giler', ' Walter Hill', ' Larry Ferguson', ' David Twohy', "" Dan O'Bannon"", ' Eric Red', ' William Gibson', ' Greg Pruss', ' Rex Pickett']","['Sigourney Weaver ', 'Charles S. Dutton ', 'Charles Dance ', 'Paul McGann ', 'Brian Glover ']",44,47
694,Muppets Most Wanted,['James Bobin'],"['James Bobin', ' Nicholas Stoller']","['Ricky Gervais ', 'Tina Fey ', 'Ty Burrell ', 'Ray Liotta ', 'Steve Whitmire ']",80,58
695,Evita,['Alan Parker'],"['Oliver Stone', ' Alan Parker']","['Madonna ', 'Antonio Banderas ', 'Jonathan Pryce ', 'Jimmy Nail ', 'Victoria Sus ']",63,68
696,Kubo and the Two Strings,['Travis Knight'],"['Marc Haimes', ' Chris Butler']","['Art Parkinson ', 'Charlize Theron ', 'Ralph Fiennes ', 'Rooney Mara ', 'George Takei ']",97,86
697,Ronin,['John Frankenheimer'],"['John Frankenheimer', ' J.D. Zeik', ' David Mamet']","['Robert De Niro ', 'Jean Reno ', 'Natascha McElhone ', 'Stellan Skarsgård ', 'Sean Bean ']",67,80
698,Burlesque,['Steve Antin'],"['In Theaters:Nov 24', ' 2010\xa0wide']","['Cher ', 'Christina Aguilera ', 'Cam Gigandet ', 'Stanley Tucci ', 'Kristen Bell ']",36,64
699,Changeling,['Peter Medak'],"['Diana Maddox', ' William Gray Espy']","['George C. Scott ', 'Trish Van Devere ', 'Melvyn Douglas ', 'John Colicos ', 'Jean Marsh ']",83,79
700,Instinct,['Jon Turteltaub'],['Gerald DiPego'],"['Anthony Hopkins ', 'Cuba Gooding Jr. ', 'Donald Sutherland ', 'Maura Tierney ', 'George Dzundza ']",27,67
701,Stuck On You,"['Bobby Farrelly', ' Peter Farrelly']","['Peter Farrelly', ' Bobby Farrelly', ' Charles B. Wessler', ' Bennett Yellin']","['Matt Damon ', 'Greg Kinnear ', 'Eva Mendes ', 'Wen Yann Shih ', 'Seymour Cassel ']",61,35
702,Semi-Pro,['Kent Alterman'],['Scot Armstrong'],"['Will Ferrell ', 'Woody Harrelson ', 'André Benjamin ', 'Maura Tierney ', 'Andrew Daly ']",22,38
703,Annihilation,['Alex Garland'],['Alex Garland'],"['Natalie Portman ', 'Jennifer Jason Leigh ', 'Gina Rodriguez ', 'Tessa Thompson ', 'Tuva Novotny ']",88,66
704,Crimson Peak,['Guillermo del Toro'],"['Guillermo del Toro', ' Matthew Robbins', ' Lucinda Coxon']","['Mia Wasikowska ', 'Jessica Chastain ', 'Tom Hiddleston ', 'Charlie Hunnam ', 'Jim Beaver ']",73,55
705,Aeon Flux,['Karyn Kusama'],"['Phil Hay', ' Matt Manfredi', ' Karyn Kusama']","['Charlize Theron ', 'Marton Csokas ', 'Jonny Lee Miller ', 'Sophie Okonedo ', 'Frances McDormand ']",9,39
706,Gods and Generals,['Ronald F. Maxwell'],['Ronald F. Maxwell'],"['Jeff Daniels ', 'Stephen Lang ', 'Robert Duvall ', 'Mira Sorvino ', 'Kevin Conway ']",8,64
707,Bullet to the Head,['Walter Hill'],"['Walter Hill', ' Alessandro Camon']","['Sylvester Stallone ', 'Sung Kang ', 'Sarah Shahi ', 'Adewale Akinnuoye-Agbaje ', 'Jason Momoa ']",46,39
708,Thunderbirds,['Jonathan Frakes'],"['William Osborne', ' Michael McCullers']","['Bill Paxton ', 'Brady Corbet ', 'Ben Kingsley ', 'Sophia Myles ', 'Philip Winchester ']",19,36
709,Lucky You,['Curtis Hanson'],"['Curtis Hanson', ' Eric Roth']","['Eric Bana ', 'Drew Barrymore ', 'Robert Duvall ', 'Debra Messing ', 'Horatio Sanz ']",29,28
710,Eye See You,['Jim Gillespie'],"['Patrick Smith Kelly', ' Ron L. Brinkerhoff']","['Sylvester Stallone ', 'Charles S. Dutton ', 'Polly Walker ', 'Kris Kristofferson ', 'Christopher Fulford ']",19,28
711,Superman II,"['Richard Lester', ' Richard Donner']","['Mario Puzo', ' David Newman', ' Leslie Newman']","['Christopher Reeve ', 'Gene Hackman ', 'Margot Kidder ', 'Ned Beatty ', 'Jackie Cooper ']",87,76
712,"You, Me and Dupree","['Anthony Russo', ' Joe Russo']",['Michael LeSieur'],"['Owen Wilson ', 'Kate Hudson ', 'Matt Dillon ', 'Michael Douglas ', 'Seth Rogen ']",20,50
713,Seven Pounds,['Gabriele Muccino'],['Grant Nieporte'],"['Will Smith ', 'Rosario Dawson ', 'Woody Harrelson ', 'Michael Ealy ', 'Barry Pepper ']",26,75
714,Elizabethtown,['Cameron Crowe'],['Cameron Crowe'],"['Orlando Bloom ', 'Kirsten Dunst ', 'Susan Sarandon ', 'Alec Baldwin ', 'Bruce McGill ']",29,66
715,Gigli,['Martin Brest'],['Martin Brest'],"['Ben Affleck ', 'Jennifer Lopez ', 'Justin Bartha ', 'Lenny Venito ', 'Christopher Walken ']",6,13
716,Shaft,['Tim Story'],"['Kenya Barris', ' Alex Barnow']","['Samuel L. Jackson ', 'Jessie T. Usher ', 'Regina Hall ', 'Alexandra Shipp ', 'Matt Lauria ']",33,94
717,Law Abiding Citizen,['F. Gary Gray'],"['Kurt Wimmer', ' Frank Darabont']","['Jamie Foxx ', 'Gerard Butler ', 'Colm Meaney ', 'Bruce McGill ', 'Leslie Bibb ']",26,75
718,Domestic Disturbance,['Harold Becker'],['Lewis Colick'],"['John Travolta ', 'Vince Vaughn ', ""Matt O'Leary "", 'Teri Polo ', 'Steve Buscemi ']",24,37
719,Flags of Our Fathers,['Clint Eastwood'],"['Clint Eastwood', ' William Broyles', ' Paul Haggis']","['Ryan Phillippe ', 'Jesse Bradford ', 'Adam Beach ', 'John Benjamin Hickey ', 'John Slattery ']",73,69
720,Grindhouse,"['Robert Rodriguez', ' Eli Roth', ' Quentin Tarantino', ' Edgar Wright', ' Rob Zombie']","['Robert Rodriguez', ' Rob Zombie', ' Edgar Wright', ' Quentin Tarantino', ' Jeff Rendell', ' Eli Roth']","['Rose McGowan ', 'Kurt Russell ', 'Freddy Rodriguez ', 'Rosario Dawson ', 'Josh Brolin ']",84,87
721,Zero Dark Thirty,['Kathryn Bigelow'],['Mark Boal'],"['Jessica Chastain ', 'Jason Clarke ', 'Joel Edgerton ', 'Edgar Ramirez ', 'Kyle Chandler ']",91,80
722,Catch Me if You Can,['Steven Spielberg'],['Jeff Nathanson'],"['Leonardo DiCaprio ', 'Tom Hanks ', 'Christopher Walken ', 'Martin Sheen ', 'Nathalie Baye ']",96,89
723,The Change-Up,['David Dobkin'],"['Scott Moore', ' Jon Lucas']","['Ryan Reynolds ', 'Jason Bateman ', 'Leslie Mann ', 'Olivia Wilde ', 'Alan Arkin ']",25,47
724,From Paris With Love,['Pierre Morel'],['Adi Hasak'],"['John Travolta ', 'Jonathan Rhys Meyers ', 'Kasia Smutniak ', 'Amber Rose Revah ', 'Richard Durden ']",38,54
725,Bulletproof Monk,['Paul Hunter'],"['Ethan Reiff', ' Cyrus Voris']","['Yun-Fat Chow ', 'Seann William Scott ', 'Jaime King ', 'Karel Roden ', 'Victoria Smurfit ']",23,38
726,Barnyard: The Original Party Animals,['Steve Oedekerk'],['Steve Oedekerk'],"['Kevin James ', 'Courteney Cox ', 'Sam Elliott ', 'Danny Glover ', 'Wanda Sykes ']",22,52
727,Deck the Halls,['John Whitesell'],"['Matt Corman', ' Chris Ord', ' Don Rhymer']","['Danny DeVito ', 'Matthew Broderick ', 'Kristin Davis ', 'Kristin Chenoweth ', 'Alia Shawkat ']",6,30
728,Greyhound,['Aaron Schneider'],['Tom Hanks'],"['Tom Hanks ', 'Stephen GrahamRob MorganElisabeth ShueKarl GlusmanManuel Garcia-RulfoDevin Druid ', 'Lee NorrisTom BrittneyMatthew Zuk ', 'Adam AalderksMichael Benz ', 'David Maldonado ']",79,77
729,The Twilight Saga: New Moon,['Chris Weitz'],"['Chris Weitz', ' Melissa Rosenberg', ' Stephenie Meyer']","['Kristen Stewart ', 'Robert Pattinson ', 'Taylor Lautner ', 'Ashley Greene ', 'Rachelle Lefevre ']",28,61
730,Shrek,"['Vicky Jenson', ' Andrew Adamson']","['Joe Stillman', ' Roger S.H. Schulman', ' Terry Rossio', ' Ted Elliott', ' Conrad Vernon', ' Cody Cameron']","['Mike Myers ', 'Eddie Murphy ', 'Cameron Diaz ', 'John Lithgow ', 'Vincent Cassel ']",88,90
731,22 Jump Street,"['Phil Lord', ' Christopher Miller']","['Rodney Rothman', ' Phil Lord', ' Michael Bacall', ' Oren Uziel']","['Jonah Hill ', 'Channing Tatum ', 'Peter Stormare ', 'Ice Cube ', '']",85,77
732,Robin Hood: Prince of Thieves,['Kevin Reynolds'],"['Pen Densham', ' John Watson']","['Kevin Costner ', 'Alan Rickman ', 'Morgan Freeman ', 'Mary Elizabeth Mastrantonio ', 'Christian Slater ']",52,72
733,Jerry Maguire,['Cameron Crowe'],['Cameron Crowe'],"['Tom Cruise ', 'Cuba Gooding Jr. ', 'Renée Zellweger ', 'Kelly Preston ', ""Jerry O'Connell ""]",83,79
734,As Good as it Gets,['James L. Brooks'],"['Mark Andrus', ' James L. Brooks']","['Jack Nicholson ', 'Helen Hunt ', 'Greg Kinnear ', 'Cuba Gooding Jr. ', 'Skeet Ulrich ']",85,86
