_id,title,rotten_tomato_rating,audience_rating,director,writers,top_5_billed
5f1850edeec2a42d5d9ccecf,Fast and Furious 6,70%,84%,['Justin Lin'],['Chris Morgan'],"['Vin Diesel ', 'Paul Walker ', 'Dwayne Johnson ', 'Jordana Brewster ', 'Michelle Rodriguez ']"
5f1850f7eec2a42d5d9cced0,Godzilla,16%,28%,['Roland Emmerich'],"['Dean Devlin', ' Roland Emmerich']","['Jean Reno ', 'Matthew Broderick ', 'Maria Pitillo ', 'Hank Azaria ', 'Arabella Field ']"
5f1850ffeec2a42d5d9cced1,X-Men: First Class,86%,87%,['Matthew Vaughn'],"['Jane Goldman', ' Ashley Edward Miller', ' Matthew Vaughn', ' Zack Stentz']","['James McAvoy ', 'Michael Fassbender ', 'Kevin Bacon ', 'Caleb Landry Jones ', 'Nicholas Hoult ']"
5f18510feec2a42d5d9cced2,Poseidon,33%,43%,['Wolfgang Petersen'],"['Paul Gallico', ' Mark Protosevich']","['Kurt Russell ', 'Josh Lucas ', 'Richard Dreyfuss ', 'Andre Braugher ', 'Mia Maestro ']"
5f185118eec2a42d5d9cced3,Warcraft,28%,76%,['Duncan Jones'],"['Duncan Jones', ' Charles Leavitt']","['Travis Fimmel ', 'Ben Foster ', 'Dominic Cooper ', '', '']"
5f185124eec2a42d5d9cced4,The Irishman,96%,86%,['Martin Scorsese'],['Steven Zaillian'],"['Robert De Niro ', 'Al Pacino ', 'Joe Pesci ', 'Jesse Plemons ', 'Bobby Cannavale ']"
5f18512aeec2a42d5d9cced5,Deepwater Horizon,83%,82%,['Peter Berg'],"['Matthew Michael Carnahan', ' Matthew Sand']","['Mark Wahlberg ', 'Kurt Russell ', 'John Malkovich ', 'Gina Rodriguez ', 'Kate Hudson ']"
5f185134eec2a42d5d9cced6,Terminator: Genisys,27%,53%,['Alan Taylor'],"['Alan Taylor', ' Laeta Kalogridis', ' Patrick Lussier']","['Emilia Clarke ', 'Jason Clarke ', 'Jai Courtney ', 'Arnold Schwarzenegger ', '']"
5f18513ceec2a42d5d9cced7,Pacific Rim: Uprising,43%,38%,['Steven S. DeKnight'],"['Emily Carmichael', ' Kira Snyder', ' Steven S. DeKnight', ' T.S. Nowlin']","['John Boyega ', 'Scott Eastwood ', 'Tian Jing ', 'Cailee Spaeny ', 'Rinko Kikuchi ']"
5f185142eec2a42d5d9cced8,Alexander,16%,35%,['Oliver Stone'],"['Oliver Stone', ' Christopher Kyle', ' Laeta Kalogridis']","['Colin Farrell ', 'Angelina Jolie ', 'Val Kilmer ', 'Anthony Hopkins ', 'Rosario Dawson ']"
5f18514deec2a42d5d9cced9,War for the Planet of the Apes,94%,84%,['Matt Reeves'],"['Mark Bomback', ' Matt Reeves']","['Andy Serkis ', 'Woody Harrelson ', 'Steve Zahn ', 'Toby Kebbell ', 'Gabriel Chavarria ']"
